query,pos_similar,neg_similar
"Trong các loại cây dưới đây cây nào có kích_thước lá lớn nhất ? 
 A. Nong tằm . 
 B._Sen . 
 C. Ổi . 
 D. Dưa_hấu .", ,"Cây nào dưới đây có kích_thước lá nhỏ nhất ? 
 A. Nong tằm . 
 B._Sen . 
 C. Ổi . 
 D. Dưa_hấu . 
 
 Trong các loại cây dưới đây cây nào có kích_thước lá trung_bình nhỏ nhất ? 
 A. Nong tằm . 
 B._Sen . 
 C. Ổi . 
 D. Dưa_hấu . 
 
 Cây nào trong số các cây sau có lá non nhỏ nhất ? 
 A. Nong tằm . 
 B._Sen . 
 C. Ổi . 
 D. Dưa_hấu ."
"Cho tam_giác ABC có AB = 3cm , AC = 4cm , BC = 5cm . Kẻ đường_cao AH ( H thuộc BC ) 1 ) Chứng_tỏ tam_giác ABC là tam_giác_cân 2 ) Trên cạnh BC lấy điểm D_sao cho BD = BA , trên cạnh AC lấy điểm E_sao cho AE = AH. Gọi F là giao_điểm của DE và AH. Chứng_minh : a . DE vuông_góc với AC b . Tam_giác ACF là tam_giác_cân c . BC + AH > AC + AB Giup mình câu này với hứa 5 * ạ","Cho tam_giác ABC có AB = 5cm , AC = 4cm , BC = 3cm . Kẻ đường_cao AH ( H thuộc AC ) 1 ) Chứng_tỏ tam_giác ABC là tam_giác_đều 2 ) Trên cạnh BC lấy điểm D_sao cho BD = BE , trên cạnh AC lấy điểm E_sao cho AE = AF. Gọi F là giao_điểm của DE và AH. Chứng_minh : a . DE vuông_góc với BC b . Tam_giác ACF là tam_giác_vuông cân c . BC + AH > AB + AC", 
"Một thùng cao 2m đựng một lượng nước cao 1,2 m . Áp_suất của nước tác_dụng lên đáy thùng là : 
 A. 12000 Pa 
 B. 1200 Pa 
 C. 120 Pa 
 D. 20000 Pa","Một thùng cao 2 m đựng một lượng nước cao 1,2 m . Áp_suất của nước tác_dụng lên đáy thùng là bao_nhiêu ? Biết trọng_lượng riêng của nước là 10000 N / m3 . 
 A. 12000 Pa 
 B. 1200 Pa 
 C. 120 Pa 
 D. 20000 Pa","Một thùng cao 1,4 m đựng đầy nước . Tính áp_suất của nước tác_dụng lên đáy thùng và lên một điểm cách ở đáy 60cm , biết trọng_lượng riêng của nước là 10000 N / m3 
"
"Các dung_dịch riêng_biệt : Na2CO3 , BaCl2 , FeCl2 , H2SO4 , NaOH được đánh_số ngẫu_nhiên ( 1 ) , ( 2 ) , ( 3 ) , ( 4 ) , ( 5 ) . Tiến_hành một_số thí_nghiệm , kết_quả ghi lại trong bảng sau : Dung_dịch ( 1 ) ( 2 ) ( 5 ) ( 1 ) Khí thoát ra Có kết_tủa ( 2 ) Khí thoát ra Có kết_tủa Có kết_tủa ( 4 ) Có kết_tủa Có kết_tủa ( 5 ) Có kết_tủa Các dung_dịch ( 1 ) , ( 3 ) , ( 5 ) lần_lượt là : 
 A. H2SO4 , FeCl2 , BaCl2 . 
 B. Na2CO3 , NaOH , BaCl2 . 
 C. H2SO4 , NaOH , FeCl2 . 
 D. Na2CO3 , FeCl2 , BaCl2 .", ,"Các dung_dịch riêng_biệt : K2SO3 , Na2S , CaCl2 , HCl , NaOH được đánh_số ngẫu_nhiên ( 1 ) , ( 2 ) , ( 3 ) , ( 4 ) , ( 5 ) . Tiến_hành một_số thí_nghiệm , kết_quả ghi lại trong bảng sau : 
 Dung_dịch ( 1 ) ( 2 ) ( 5 ) ( 1 ) 
 Khí thoát ra Có kết_tủa Có kết_tủa Không có phản_ứng 
 ( 2 ) ( 3 ) ( 4 ) ( 5 ) 
 Khí thoát ra Không có phản_ứng Có kết_tủa Không có phản_ứng 
 Các dung_dịch ( 2 ) , ( 3 ) , ( 4 ) lần_lượt là : 
 A. CaCl2 , Na2S , HCl . 
 B. K2SO3 , CaCl2 , NaOH . 
 C. HCl , NaOH , Na2S . 
 D._Na2S , CaCl2 , HCl ."
Tính 3 / 4 - 2 / 8 16 / 18 - 5 / 9, ,Tính 3 / 4 - 2 / 8 3 ( sqrt ( 2 ) ) / sqrt ( 3 ) - 5 / 9
Nêu đặc_điểm của bề_mặt trao_đổi khí ? Lấy vd về bề_mặt trao_đổi khí ở một_số động_vật,Miêu_tả đặc_điểm của bề_mặt trao_đổi khí ở các loài động_vật và đưa ra ví_dụ về bề_mặt trao_đổi khí ở một_số loài động_vật ., 
"Thủy_phân 68,4 gam saccarozơ trong môi_trường axit với hiệu_suất 92 % , sau phản_ứng thu được dung_dịch chứa m gam glucozơ . Giá_trị của m là 
 A. 36,00 . 
 B. 66,24 . 
 C. 33,12 . 
 D. 72,00 .","Thủy_phân 72,9 gam saccarozơ trong môi_trường axit với hiệu_suất 85 % , sau phản_ứng thu được dung_dịch chứa n gam glucozơ . Giá_trị của n là 
 A. 38,70 . 
 B. 61,01 . 
 C. 32,22 . 
 D. 77,00 .", 
Giúp mình câu này với : Tìm giá_trị nhỏ nhất : M = 4x ^ 2 - 3x + 1 / 4x + 2020 ( x > 0 ), ,Có một hàm_số M ( x ) liên_quan đến x : M ( x ) = 4x ^ 2 - 3x + 1 / 4x + 2020 ( x > 0 ) . Hãy tìm giá_trị lớn nhất của M ( x )
"Một tia sáng đi từ nước đến mặt phân_cách với không_khí . Biết chiết_suất của nước là 4 / 3 , chiết_suất của không_khí là 1 . Góc giới_hạn của tia sáng phản_xạ toàn_phần khi đó là 
 A. 41048 ' 
 B. 48035 ' 
 C. 62044 ' 
 D. 38026 '","Một tia sáng đi từ nước đến mặt phân_cách với không_khí . Biết chiết_suất của nước là 3 / 4 , chiết_suất của không_khí là 3 / 2 . Góc giới_hạn của tia sáng phản_xạ toàn_phần khi đó là 
 A. 48035 ' 
 B. 41048 ' 
 C. 38026 ' 
 D. 62044 '", 
"Trong một thí_nghiệm về giao_thoa sóng trên mặt_nước , hai nguồn kết_hợp A , B dao_động với tần_số f = 15 Hz và cùng pha . Tại một điểm M trên mặt_nước cách A , B những khoảng d1 = 12 cm , d2 = 16 cm sóng có biên_độ cực_đại . Giữa M và đường trung_trực của AB có hai dãy cực_tiểu . Tốc_độ truyền sóng trên mặt_nước là 
 A. 15 cm / s . 
 B. 48 cm / s . 
 C. 30 cm / s . 
 D. 24 cm / s .","Trong một thí_nghiệm về giao_thoa sóng trên mặt_nước , hai nguồn kết_hợp A , B dao_động với tần_số f = 10 Hz và cùng pha . Tại một điểm M trên mặt_nước cách A , B những khoảng d1 = 8 cm , d2 = 10 cm sóng có biên_độ cực_đại . Giữa M và đường trung_trực của AB có hai dãy cực_tiểu . Tốc_độ truyền sóng trên mặt_nước là 
 A. 10 cm / s . 
 B. 20 cm / s . 
 C. 12 cm / s . 
 D. 15 cm / s .", 
"Một con_lắc đơn có chiều dài l = 1 m , vật nặng có khối_lượng m = 100 \ sqrt { 3 } g , tích điện q ~ = ~ 10 ^ { – 5 } ~ C. Treo con_lắc đơn trong một điện_trường đều có phương vuông_góc với vecto và độ lớn E = 10 ^ { 5 } V / m . Kéo_vật theo chiều của vecto cường_độ điện_trường sao cho góc tạo bởi giữa dây treo và vecto \ overset { \ rightarrow } { g } là 75 ^ { 0 } thả nhẹ để vật chuyển_động . Lấy g = 10m / s ^ { 2 } . Lực căng cực_đại của dây treo là : 
 A. 1,54 N 
 B. 5,54 N 
 C. 3,17 N 
 D. 2,14 N", ,"Một chất_điểm dao_động điều hòa với biên_độ A và tần_số góc ω = π rad / s . Gọi x_ { 1 } và v_ { 1 } lần_lượt là li độ và vận_tốc của chất_điểm tại thời_điểm t_ { 1 } ; x_ { 2 } và v_ { 2 } lần_lượt là li độ và vận_tốc của chất_điểm tại thời_điểm t_ { 2 } = t_ { 1 } + \ frac { T } { 4 } . Biết rằng \ frac { v_ { 1 } } { x_ { 1 } } + \ frac { v_ { 2 } } { x_ { 2 } } = 2 \ pi rad / s . Tỉ_số giữa thế_năng và cơ_năng của chất_điểm tại thời_điểm t_ { 1 } là 
 A. 1,8 
 B. 2 
 C. 0,5 
 D. 0,3"
"Cho hai số_phức z_ { 1 } , ~ z_ { 2 } . Chọn mệnh_đề đúng . 
 A. Nếu \ left | z_ { 1 } \ right | = \ left | z_ { 2 } \ right | ~ \ text { thì } ~ z_ { 1 } = { \ overline { z } } _ { 2 } . 
 B. Nếu z_ { 1 } = { \ overline { z } } _ { 2 } ~ \ text { thì } ~ \ left | z_ { 1 } \ right | = \ left | z_ { 2 } \ right | 
 C. Nếu \ left | z_ { 1 } \ right | = \ left | z_ { 2 } \ right | ~ \ text { thì } ~ z_ { 1 } = z_ { 2 } 
 D. Nếu \ left | z_ { 1 } \ right | = \ left | z_ { 2 } \ right | thì thì các điểm biểu_diễn cho z_ { 1 } và z_ { 2 } tương_ứng trên mặt_phẳng tọa_độ sẽ đối_xứng nhau qua gốc tọa_độ O.", ,"Cho số_phức z thỏa_mãn | z - 3 - 2 i | = 2 và w = 2z - 1 + 2 i . Trong mặt_phẳng phức , tập_hợp điểm biểu_diễn số_phức w là 
 A. \ left ( { x - 3 } \ right ) ^ { 2 } + \ left ( { y - 2 } \ right ) ^ { 2 } = 4 
 B. \ left ( { x + 5 } \ right ) ^ { 2 } + \ left ( { y + 6 } \ right ) ^ { 2 } = 4 
 C. \ left ( { x + 3 } \ right ) ^ { 2 } + \ left ( { y + 2 } \ right ) ^ { 2 } = 2 
 D. \ left ( { x - 5 } \ right ) ^ { 2 } + \ left ( { y - 6 } \ right ) ^ { 2 } = 16"
"Nguyên_tố_hóa học nào sau đây luôn hiện_diện xung_quanh sinh_vật nhưng nó không sử_dụng trực_tiếp được ? 
 A._nitơ 
 B._oxi 
 C._cacbon 
 D._photpho", ,"Hệ sinh_thái bao_gồm ? 
 A. Các sinh_vật luôn_luôn tác_động lẫn nhau 
 B. Các loài quần_tụ với nhau tại 1 không_gian xác_định 
 C. Quần_xã sinh_vật và sinh_cảnh 
 D. Tác_động của các nhân_tố vô_sinh lên các loài"
"Cho các sự_kiện diễn ra trong quá_trình phiên_mã : ( 1 ) ARN pôlimeraza bắt_đầu tổng_hợp mARN tại vị_trí đặc_hiệu ( khởi_đầu phiên_mã ) . ( 2 ) ARN pôlimeraza bám vào vùng điều_hoà làm gen tháo xoắn để lộ ra mạch gốc có chiều 3 ' → 5 ' . ( 3 ) ARN pôlimeraza trượt dọc theo mạch mã gốc trên gen có chiều 3 ' → 5 ' . ( 4 ) Khi ARN pôlimeraza di_chuyển tới cuối gen , gặp tín_hiệu kết_thúc thì nó dừng phiên_mã . Trong quá_trình phiên_mã , các sự_kiện trên diễn ra theo trình_tự đúng là 
 A. ( 1 ) → ( 2 ) → ( 3 ) → ( 4 ) 
 B. ( 1 ) → ( 4 ) → ( 3 ) → ( 2 ) 
 C. ( 2 ) → ( 1 ) → ( 3 ) → ( 4 ) 
 D. ( 2 ) → ( 3 ) → ( 1 ) → ( 4 )","Cho các sự_kiện diễn ra trong quá_trình phiên_mã : ( 1 ) ARN polimeraza bắt_đầu tổng_hợp mARN tại vị_trí đặc_hiệu ( khởi_đầu phiên_mã ) . ( 2 ) ARN polimeraza bám vào vùng điều hòa làm gen tháo xoắn để lộ ra mạch gốc có chiều 3 ' → 5 ' . ( 3 ) ARN polimeraza trượt dọc theo mạch mã gốc trên gen có chiều 3 ' → 5 ' . ( 4 ) Khi ARN polimeraza di_chuyển tới cuối gen , cặp tín_hiệu kết_thúc thì nó dừng phiên_mã . Trong quá_trình phiên_mã , các sự_kiện trên diễn ra theo trình_tự đúng là : 
 A. ( 2 ) → ( 1 ) → ( 3 ) → ( 4 ) 
 B. ( 2 ) → ( 3 ) → ( 1 ) → ( 4 ) 
 C. ( 1 ) → ( 2 ) → ( 3 ) → ( 4 ) 
 D. ( 1 ) → ( 4 ) → ( 3 ) → ( 2 )", 
"Nguoi_ta trong ngo tren mot thua ruong hinh chu nhat co chieu rong 60m , chieu dai bang 5 phan 3 chieu rong . a . Tinh dien tich thua ruong do b . Biet rang , trung_binh cu 100mvuong thu duoc 30kg ngo . Hoi tren ca thua ruong do , nguoi ta thu duoc bao nhieu ta ngo","Nguoi_ta trong ngo tren mot thua ruong hinh chu nhat co chieu rong 60m , chieu dai bang 5 phan 3 chieu rong . a . Tinh chu_vi thua ruong do b . Biet rang , trung_binh cu 100mvuong thu duoc 30kg ngo . Hoi tren ca thua ruong do , nguoi ta thu duoc bao nhieu ta con ngo ?", 
"Bón phân hợp_lý phải dựa trên nhiều yếu_tố . Nhưng quan_trọng nhất là : 
 A. Đúng nồng_độ . 
 B. Đúng cách . 
 C. Đúng lúc . 
 D. Phù_hợp với thời_tiết .", ,"Vì_sao chúng_ta cần phải bón phân với liều_lượng hợp_lí , tuỳ_thuộc vào loại đất , loại phân_bón , giống và loài cây_trồng ?"
"Cho 36,24 gam hỗn_hợp X gồm Fe . Fe3O4 , Fe ( NO3 ) 2 vào dung_dịch chứa 1,2 mol HCl và 0,04 mol HNO3 khuấy đều cho phản_ứng xảy ra hoàn_toàn thu được dung_dịch Y ( không chứa NH4 + ) và 0,16 mol hỗn_hợp khí Z gồm NO2 và NO. Cho dung_dịch AgNO3 đến dư vào dung_dịch Y_thấy thoát ra 0,02 mol NO ( sản_phẩm khử duy_nhất của N + 5 ) , đồng_thời thu được 174,36 gam kết_tủa . Phần_trăm số mol của Fe có trong hỗn_hợp ban_đầu là : 
 A. 6,18 % 
 B. 20,00 % 
 C. 13,04 % 
 D. 18,22 %", ,"Tính phần_trăm số mol của Fe3O4 có trong hỗn_hợp ban_đầu trong phản_ứng trên : 
 A. 6,18 % 
 B. 20,00 % 
 C. 13,04 % 
 D. 18,22 %"
Có 207 chiếc bánh trung_thu đóng thành 2 thùng . nếu đem thùng 1 chia 4 phần bằng nhau thì thùng 2 có 5 phần như thế . hỏi mỗi thùng có bao_nhiêu chiếc bánh, ,Có tổng_cộng bao_nhiêu chiếc bánh trong 2 thùng nếu thùng 1 chia thành 5 phần bằng nhau và thùng 2 chia thành 4 phần bằng nhau ?
"Một vật dao_động điều hòa với chu_kì T = 0,4 s và biên_độ là 10 cm . Động_năng của vật khi qua vị_trí cân_bằng là 500 mJ . Lấy \ pi ^ { 2 } = 10 . Khối_lượng của vật bằng 
 A. 150 g . 
 B. 250 g . 
 C. 400 g . 
 D. 200 g .", ,"Một chất_điểm dao_động điều hòa trên trục Ox . Khi chất_điểm đi qua vị_trí cân_bằng thì tốc_độ của nó là 20 cm / s . Khi chất_điểm có tốc_độ là 10 cm / s thì gia_tốc của nó có độ lớn là 40 \ sqrt { 3 } cm / s ^ { 2 } . Biên_độ dao_động của chất_điểm là 
 A. 10 cm 
 B. 8 cm 
 C. 4 cm 
 D. 5 cm ."
"Cho một vật chuyển_động thẳng đều trên một đoạn_thẳng AB biết . Tại t_ { 1 } = 2 s thì x_ { 1 } = 8 ~ m và tại t_ { 2 } = 3 s thì x_ { 2 } = 12 ~ m . Hãy viết phương_trình chuyển_động của vật . 
 A. x = 2 t 
 B. x = 4 t 
 C. x = 4 + 3 t 
 D. x = 4 + 2 t","Một vật chuyển_động thẳng đều . Lúc t_ { 1 } = 2 ~ s thì tọa_độ là x_ { 1 } = 1 ~ m , lúc t_ { 2 } = 5 ~ s thì tọa_độ x_ { 2 } = - 8 ~ m . Phương_trình chuyển_động của vật là ? 
 A. x = 3t - 5 . 
 B. x = - 3t + 7 . 
 C. x = - 3t + 3 . 
 D. x = - 3t + 5 .", 
Cách bay của dơi khác cách bay của chim ở điểm nào .,"So_sánh cách bay của dơi và chim , hãy đề_cập đến điểm khác nhau của hai loài này khi bay .", 
"Câu 3 : Cho ba đường_thẳng phân_biệt a , b , c . Biết a ⊥ c và b ⊥ c , ta suy ra : A. a và b cắt nhau . B. a và b song_song với nhau . C. a và b trùng nhau . D. a và b vuông_góc với nhau . Câu 4 : Nếu 1 đường_thẳng cắt 2 đường_thẳng song_song thì : 
 A. Hai góc trong cùng phía bù nhau 
 B. Hai góc đồng_vị phụ nhau 
 C. Hai góc so_le trong bù nhau 
 D. Cả 3 ý trên đều sai", ,"Câu 3 : Cho ba đường_thẳng phân_biệt a , b , c . Biết a vuông_góc với c và b vuông_góc với c , ta suy ra : A. a và b cắt nhau . B. a và b song_song với nhau . C. a và b trùng nhau . D. a và b vuông_góc với nhau . 
 Câu 4 : Nếu 1 góc phân_biệt đồng_vị phụ với 2 góc song_song thì : 
 A. Hai góc trong cùng phía bù nhau 
 B. Hai góc đồng_vị phụ nhau 
 C. Hai góc so_le trong bù nhau 
 D. Cả 3 ý trên đều sai"
"Bạn A chạy 120 m hết 35 s . Bạn B chạy 140 m hết 40 s . Ai chạy nhanh hơn ? 
","Bạn A chạy 120m hết 35 giây . Bạn B chạy 140m hết 40 giây . Ai chạy nhanh nhất ? 
","Trong cuộc thi chạy 80m , Nam chạy hết 13 
 phút , Bình chạy hết 14 
 phút . Hỏi ai chạy nhanh hơn và nhanh hơn mấy giây ? 
 A._Bình chạy nhanh hơn Nam 5 giây 
 
 B. Bình chạy nhanh hơn Nam 8 giây 
 
 C._Nam chạy nhanh hơn Bình 8 giây 
 
 D._Nam chạy nhanh hơn Bình 5 giây 
 
"
"Trong thí_nghiệm Y - âng về giao_thoa với ánh_sáng đơn_sắc có bước_sóng λ . Trên màn quan_sát , tại điểm A có vân sáng bậc k . Lần_lượt tăng , giảm khoảng_cách giữa hai khe hẹp một đoạn ∆ a và 2 ∆ a ( sao cho vị_trí vân sáng trung_tâm không thay_đổi ) thì tại A có vân sáng lần_lượt bậc k1 và k2 . Chọn phương_án đúng ? 
 A. k1 + k2 = k 
 B. k1 + k2 = k 
 C. 2k1 + k2 = 3k 
 D. 2k2 − k1 = k","Trong thí_nghiệm Y - âng về giao_thoa với ánh_sáng đơn_sắc có bước_sóng λ . Trên màn quan_sát , tại điểm A có vân sáng bậc k . Lần_lượt nhân đôi và giảm đi một nửa khoảng_cách giữa hai khe hẹp ( sao cho vị_trí vân sáng trung_tâm không thay_đổi ) thì tại A có vân sáng lần_lượt bậc k1 và k2 . Chọn phương_án đúng ? 
 A. k1 + k2 = k 
 B. k1 + k2 = k 
 C. 2k1 + k2 = 3k 
 D. 2k2 − k1 = k", 
"Giair thích sự hình_thành liên_kết của H2O , của amoniac và HF", ,"So_sánh cấu_trúc của hợp_chất H2O , CO2 và CH4 . 
 
 Giải_thích vì_sao cấu_trúc phân_tử của NH3 khác với cấu_trúc của H2O và HF. 
 
 Cho biết điểm chung và điểm khác nhau giữa cấu_trúc của HF , HCl và HI."
Cây có hệ hô_hấp không ? Vì_sao ?, ,"Cây có quá_trình nào sau đây không phải là quá_trình hô_hấp ? 
 A. Quang_hợp . 
 B. Quá_trình giải_phóng oxy . 
 C. Quá_trình hấp_thụ CO2 . 
 D. Quá_trình trao_đổi khí qua lỗ thông khí ."
"Một cặp bố_mẹ sinh ba đứa con : đứa thứ 1 có nhóm máu AB , đứa thứ 2 có nhóm máu B và đứa thứ 3 có nhóm máu O. Xác_suất để cặp bố_mẹ như trên sinh 3 đứa con đều nhóm máu O là : 
 A. 3,125 % 
 B. 0 % 
 C. 1,562 % 
 D. 9,375 %", ,"Một cặp bố_mẹ sinh ba đứa con : đứa thứ 1 có nhóm máu AB , đứa thứ 2 có nhóm máu B và đứa thứ 3 có nhóm máu O. Xác_suất để cặp bố_mẹ như trên sinh 3 đứa con đều khác nhau về nhóm máu là : 
 A. 3,125 % 
 B. 0 % 
 C. 1,562 % 
 D. 9,375 %"
"Một nguyên_tố R có nguyên_tử khối bằng 32 . Trong nguyên_tử nguyên_tố R , số hạt mang điện gấp đôi số hạt không mang điện . 1 , Hãy cho biết số hạt proton , nơtron , electron có trong nguyên_tử R ; 2 , viết cấu_hình e nguyên_tử ; xác_định vị_trí của R trong bảng tuần_hoàn ; 3 , Viết công_thức hợp_chất oxit cao nhất và hợp_chất_khí với hiđrô ( nếu có ) của nguyên_tố R", ,"1 . Nguyên_tử khối của nguyên_tố R là bao_nhiêu ? 
 2 . Số hạt không mang điện trong nguyên_tử R là bao_nhiêu ? 
 3 . Cấu_hình electron của nguyên_tử R là gì ? 
 4 . Vị_trí của nguyên_tố R trong bảng tuần_hoàn là gì ? 
 5 . Hợp_chất oxit cao nhất của nguyên_tử R là gì ? 
 6 . Hợp_chất_khí với hiđrô của nguyên_tử R là gì ?"
"Phát_biểu nào sau đây là đúng ( biết các amino axit tạo peptit là no , phân_tử có 1 nhóm – COOH và 1 nhóm – NH2 ) ? 
 A._Phân_tử peptit mạch hở có số liên_kết peptit bao_giờ cũng nhiều hơn số gốc α - amino axit 
 B. Phân_tử peptit mạch hở tạo bởi n gốc α - amino axit có chứa ( n - 1 ) liên_kết peptit 
 C. Các peptit đều có phản_ứng với Cu ( OH ) 2 tạo thành phức chất có màu tím đặc_trưng 
 D._Phân_tử tripeptit có ba liên_kết peptit", ,"Phát_biểu nào sau đây là đúng ( biết các amino axit tạo peptit là no , phân_tử có 1 nhóm – COOH và 1 nhóm – NH2 ) ? 
 A. Đối_với phân_tử peptit mạch hở , tổng_số liên_kết peptit cần tạo ra bằng số gốc α - amino axit , trừ đi 1 
 B. Phân_tử peptit mạch hở tạo bởi n gốc α - amino axit có chứa ( n + 1 ) liên_kết peptit 
 C. Các peptit không có phản_ứng với Cu ( OH ) 2 để tạo thành phức chất có màu tím đặc_trưng 
 D._Phân_tử tripeptit có hai liên_kết peptit"
Vì_sao ausin lại có tác_dụng diệt cỏ, ,Vì_sao oxit nhôm lại có tác_dụng chống cháy
